themepark,country,month,avg_crowd_level,avg_temp,avg_precipitation,avg_humidity,public_holiday,school_holiday
Familypark,Austria,Mar,37,5.5,52,71,0,0
Familypark,Austria,Apr,25,10.9,55,65,2,10
Familypark,Austria,May,39,15.3,84,67,2,2
Familypark,Austria,Jun,52,19.3,85,65,3,6
Familypark,Austria,Jul,61,21.1,91,64,0,0
Familypark,Austria,Aug,75,20.6,84,66,1,1
Familypark,Austria,Sep,52,15.8,81,72,0,0
Familypark,Austria,Oct,48,10.9,58,78,1,4
Familypark,Austria,Nov,71,6,55,81,1,1
Bellewaerde,Belgium,Jan,26,4.3,65,84,1,5
Bellewaerde,Belgium,Mar,16,6.8,54,78,0,7
Bellewaerde,Belgium,Apr,29,9.9,55,73,1,14
Bellewaerde,Belgium,May,47,13.3,68,73,3,3
Bellewaerde,Belgium,Jun,41,16.2,65,73,0,0
Bellewaerde,Belgium,Jul,49,18.2,66,73,1,1
Bellewaerde,Belgium,Aug,67,18,74,74,1,1
Bellewaerde,Belgium,Sep,57,15.6,57,76,0,0
Bellewaerde,Belgium,Oct,47,12.2,63,80,0,4
Bellewaerde,Belgium,Nov,59,8,67,85,2,3
Bellewaerde,Belgium,Dec,31,5,74,85,1,14
Bobbejaanland,Belgium,Mar,53,6.5,63,77,0,7
Bobbejaanland,Belgium,Apr,38,10.2,55,70,1,14
Bobbejaanland,Belgium,May,42,14,69,69,3,3
Bobbejaanland,Belgium,Jun,39,17,76,69,0,0
Bobbejaanland,Belgium,Jul,40,18.8,81,70,1,1
Bobbejaanland,Belgium,Aug,67,18.3,82,73,1,1
Bobbejaanland,Belgium,Sep,43,15.5,65,76,0,0
Bobbejaanland,Belgium,Oct,53,11.8,66,80,0,4
Bobbejaanland,Belgium,Nov,67,7.4,71,86,2,3
Plopsaland De Panne ,Belgium,Jan,30,5,61,83,1,5
Plopsaland De Panne ,Belgium,Feb,32,5.1,52,81,0,0
Plopsaland De Panne ,Belgium,Mar,40,7,51,79,0,5
Plopsaland De Panne ,Belgium,Apr,47,9.9,54,75,1,14
Plopsaland De Panne ,Belgium,May,46,13.1,64,75,3,3
Plopsaland De Panne ,Belgium,Jun,45,16,64,75,0,0
Plopsaland De Panne ,Belgium,Jul,71,18.1,62,75,1,1
Plopsaland De Panne ,Belgium,Aug,84,18.1,72,75,1,1
Plopsaland De Panne ,Belgium,Sep,51,16,61,77,0,0
Plopsaland De Panne ,Belgium,Oct,51,12.7,66,80,0,4
Plopsaland De Panne ,Belgium,Nov,39,8.7,69,84,2,3
