Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Date
Sentosa Island,2024,1,1,-,    26.4,2024-1-1
Sentosa Island,2024,1,2,-,-,2024-1-2
Sentosa Island,2024,1,3,-,-,2024-1-3
Sentosa Island,2024,1,4,-,-,2024-1-4
Sentosa Island,2024,1,5,-,-,2024-1-5
Sentosa Island,2024,1,6,-,-,2024-1-6
Sentosa Island,2024,1,7,-,-,2024-1-7
Sentosa Island,2024,1,8,-,-,2024-1-8
Sentosa Island,2024,1,9,-,-,2024-1-9
Sentosa Island,2024,1,10,-,    26.4,2024-1-10
Sentosa Island,2024,1,11,     9.0,    27.6,2024-1-11
Sentosa Island,2024,1,12,    10.5,    25.9,2024-1-12
Sentosa Island,2024,1,13,     5.8,    27.0,2024-1-13
Sentosa Island,2024,1,14,     0.0,    28.3,2024-1-14
Sentosa Island,2024,1,15,     0.0,    28.1,2024-1-15
Sentosa Island,2024,1,16,     6.0,    27.3,2024-1-16
Sentosa Island,2024,1,17,     2.5,    28.0,2024-1-17
Sentosa Island,2024,1,18,     7.5,    27.2,2024-1-18
Sentosa Island,2024,1,19,    15.0,    26.6,2024-1-19
Sentosa Island,2024,1,20,     9.0,    25.0,2024-1-20
Sentosa Island,2024,1,21,     1.5,    27.1,2024-1-21
Sentosa Island,2024,1,22,     0.0,    28.0,2024-1-22
Sentosa Island,2024,1,23,     0.0,    28.0,2024-1-23
Sentosa Island,2024,1,24,    72.4,    27.1,2024-1-24
Sentosa Island,2024,1,25,     2.2,    26.5,2024-1-25
Sentosa Island,2024,1,26,     0.0,    28.5,2024-1-26
Sentosa Island,2024,1,27,     0.0,    28.9,2024-1-27
Sentosa Island,2024,1,28,     0.0,    28.6,2024-1-28
Sentosa Island,2024,1,29,     0.0,    28.8,2024-1-29
Sentosa Island,2024,1,30,     0.4,    28.2,2024-1-30
Sentosa Island,2024,1,31,     0.4,    28.5,2024-1-31
Sentosa Island,2024,2,1,0,28.5,2024-2-1
Sentosa Island,2024,2,2,15.2,27.9,2024-2-2
Sentosa Island,2024,2,3,19,27.9,2024-2-3
Sentosa Island,2024,2,4,0,28.9,2024-2-4
Sentosa Island,2024,2,5,0,29.2,2024-2-5
Sentosa Island,2024,2,6,0,28.8,2024-2-6
Sentosa Island,2024,2,7,3.2,28.5,2024-2-7
Sentosa Island,2024,2,8,0,28.3,2024-2-8
Sentosa Island,2024,2,9,27.4,27.7,2024-2-9
Sentosa Island,2024,2,10,10.4,28.2,2024-2-10
Sentosa Island,2024,2,11,3.6,28.4,2024-2-11
Sentosa Island,2024,2,12,3.4,27,2024-2-12
Sentosa Island,2024,2,13,5.8,27.5,2024-2-13
Sentosa Island,2024,2,14,1,28.4,2024-2-14
Sentosa Island,2024,2,15,3.8,27.5,2024-2-15
Sentosa Island,2024,2,16,0,28.8,2024-2-16
Sentosa Island,2024,2,17,0,28.6,2024-2-17
Sentosa Island,2024,2,18,0,28.9,2024-2-18
Sentosa Island,2024,2,19,0,29.1,2024-2-19
Sentosa Island,2024,2,20,0.6,28.8,2024-2-20
Sentosa Island,2024,2,21,0,28.8,2024-2-21
Sentosa Island,2024,2,22,0,28.8,2024-2-22
Sentosa Island,2024,2,23,0,28.9,2024-2-23
Sentosa Island,2024,2,24,0,29,2024-2-24
Sentosa Island,2024,2,25,0,29.5,2024-2-25
Sentosa Island,2024,2,26,0,29.4,2024-2-26
Sentosa Island,2024,2,27,3,28.2,2024-2-27
Sentosa Island,2024,2,28,0,29.4,2024-2-28
Sentosa Island,2024,2,29,0,29.9,2024-2-29
Sentosa Island,2024,3,1,1.2,    29.1,2024-3-1
Sentosa Island,2024,3,2,6.8,    28.4,2024-3-2
Sentosa Island,2024,3,3,8.8,    27.3,2024-3-3
Sentosa Island,2024,3,4,58.4,    27.8,2024-3-4
Sentosa Island,2024,3,5,5.2,    27.0,2024-3-5
Sentosa Island,2024,3,6,5,    27.9,2024-3-6
Sentosa Island,2024,3,7,9.6,    28.1,2024-3-7
Sentosa Island,2024,3,8,3.8,    27.4,2024-3-8
Sentosa Island,2024,3,9,0.2,    28.6,2024-3-9
Sentosa Island,2024,3,10,11.6,    27.7,2024-3-10
Sentosa Island,2024,3,11,0,    29.0,2024-3-11
Sentosa Island,2024,3,12,0,    29.6,2024-3-12
Sentosa Island,2024,3,13,0,    29.8,2024-3-13
Sentosa Island,2024,3,14,0,    29.3,2024-3-14
Sentosa Island,2024,3,15,0,    28.9,2024-3-15
Sentosa Island,2024,3,16,0,    29.3,2024-3-16
Sentosa Island,2024,3,17,30.6,    29.4,2024-3-17
Sentosa Island,2024,3,18,0,    29.6,2024-3-18
Sentosa Island,2024,3,19,10.6,    29.0,2024-3-19
Sentosa Island,2024,3,20,0,    29.4,2024-3-20
Sentosa Island,2024,3,21,17,    28.8,2024-3-21
Sentosa Island,2024,3,22,0,    29.2,2024-3-22
Sentosa Island,2024,3,23,0,    29.1,2024-3-23
Sentosa Island,2024,3,24,0,    29.3,2024-3-24
Sentosa Island,2024,3,25,0,    29.7,2024-3-25
Sentosa Island,2024,3,26,0,    30.2,2024-3-26
Sentosa Island,2024,3,27,0,    29.9,2024-3-27
Sentosa Island,2024,3,28,0,    29.5,2024-3-28
Sentosa Island,2024,3,29,0,-,2024-3-29
Sentosa Island,2024,3,30,0,-,2024-3-30
Sentosa Island,2024,3,31,0,    29.9,2024-3-31
Sentosa Island,2024,4,1,8.6,    29.3,2024-4-1
Sentosa Island,2024,4,2,0,    30.1,2024-4-2
Sentosa Island,2024,4,3,0,    30.0,2024-4-3
Sentosa Island,2024,4,4,0.8,    29.3,2024-4-4
Sentosa Island,2024,4,5,0,    29.7,2024-4-5
Sentosa Island,2024,4,6,0,    29.7,2024-4-6
Sentosa Island,2024,4,7,0,    30.6,2024-4-7
Sentosa Island,2024,4,8,4.8,    29.1,2024-4-8
Sentosa Island,2024,4,9,0,    30.2,2024-4-9
Sentosa Island,2024,4,10,13.4,    28.2,2024-4-10
Sentosa Island,2024,4,11,4.4,    28.6,2024-4-11
Sentosa Island,2024,4,12,30.4,    26.5,2024-4-12
Sentosa Island,2024,4,13,2.2,    28.8,2024-4-13
Sentosa Island,2024,4,14,0,    29.1,2024-4-14
Sentosa Island,2024,4,15,0,    29.2,2024-4-15
Sentosa Island,2024,4,16,3.6,    27.6,2024-4-16
Sentosa Island,2024,4,17,17,    28.1,2024-4-17
Sentosa Island,2024,4,18,3.2,    29.2,2024-4-18
Sentosa Island,2024,4,19,0.4,    29.5,2024-4-19
Sentosa Island,2024,4,20,44.2,    28.2,2024-4-20
Sentosa Island,2024,4,21,0.2,    29.3,2024-4-21
Sentosa Island,2024,4,22,0,    29.9,2024-4-22
Sentosa Island,2024,4,23,0,    30.3,2024-4-23
Sentosa Island,2024,4,24,0,    29.8,2024-4-24
Sentosa Island,2024,4,25,0,-,2024-4-25
Sentosa Island,2024,4,26,0,-,2024-4-26
Sentosa Island,2024,4,27,0,-,2024-4-27
Sentosa Island,2024,4,28,2.2,    29.3,2024-4-28
Sentosa Island,2024,4,29,0,    30.5,2024-4-29
Sentosa Island,2024,4,30,0,    30.4,2024-4-30
Sentosa Island,2024,5,1,0,30.2,2024-5-1
Sentosa Island,2024,5,2,0,29.3,2024-5-2
Sentosa Island,2024,5,3,0,29.8,2024-5-3
Sentosa Island,2024,5,4,51.6,27.2,2024-5-4
Sentosa Island,2024,5,5,0,29.8,2024-5-5
Sentosa Island,2024,5,6,0,30,2024-5-6
Sentosa Island,2024,5,7,0,29.1,2024-5-7
Sentosa Island,2024,5,8,5.6,28.1,2024-5-8
Sentosa Island,2024,5,9,0,29.8,2024-5-9
Sentosa Island,2024,5,10,28.2,28.9,2024-5-10
Sentosa Island,2024,5,11,0,29.8,2024-5-11
Sentosa Island,2024,5,12,0,29.3,2024-5-12
Sentosa Island,2024,5,13,12.6,29,2024-5-13
Sentosa Island,2024,5,14,35.8,28.7,2024-5-14
Sentosa Island,2024,5,15,0,29.2,2024-5-15
Sentosa Island,2024,5,16,26.2,27.8,2024-5-16
Sentosa Island,2024,5,17,0.2,29.4,2024-5-17
Sentosa Island,2024,5,18,0.4,29.3,2024-5-18
Sentosa Island,2024,5,19,2.8,29.1,2024-5-19
Sentosa Island,2024,5,20,0.2,28.2,2024-5-20
Sentosa Island,2024,5,21,0,29.1,2024-5-21
Sentosa Island,2024,5,22,0.4,28.5,2024-5-22
Sentosa Island,2024,5,23,22.4,28.9,2024-5-23
Sentosa Island,2024,5,24,0.8,28.1,2024-5-24
Sentosa Island,2024,5,25,3.4,28.3,2024-5-25
Sentosa Island,2024,5,26,0.5,29.2,2024-5-26
