Date,Date/Time,Ride,Zone,Wait Time,Visitor Count
2024-01-01,10,Accelerator,Sci-Fi City,5.0,67
2024-01-01,10,Battlestar Galactica: CYLON,Sci-Fi City,5.0,144
2024-01-01,10,Battlestar Galactica: HUMAN,Sci-Fi City,6.666666666666667,145
2024-01-01,10,Canopy Flyer,The Lost World,5.0,53
2024-01-01,10,Dino-Soarin,The Lost World,5.0,19
2024-01-01,10,Enchanted Airways,Far Far Away,5.0,138
2024-01-01,10,Jurassic Park Rapids Adventure,The Lost World,5.0,13
2024-01-01,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,182
2024-01-01,10,Magic Potion Spin,Far Far Away,5.0,63
2024-01-01,10,Puss In Boots’ Giant Journey,Far Far Away,5.0,71
2024-01-01,10,Revenge of the Mummy,Ancient Egypt,5.0,21
2024-01-01,10,Sesame Street Spaghetti Space Chase,New York,7.5,46
2024-01-01,10,Shrek 4-D Adventure,Far Far Away,20.0,544
2024-01-01,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,11.25,277
2024-01-01,10,Treasure Hunters,Ancient Egypt,7.5,62
2024-01-01,11,Accelerator,Sci-Fi City,5.0,35
2024-01-01,11,Battlestar Galactica: CYLON,Sci-Fi City,16.25,414
2024-01-01,11,Battlestar Galactica: HUMAN,Sci-Fi City,19.0,600
2024-01-01,11,Canopy Flyer,The Lost World,20.0,331
2024-01-01,11,Dino-Soarin,The Lost World,10.555555555555555,454
2024-01-01,11,Enchanted Airways,Far Far Away,5.0,112
2024-01-01,11,Jurassic Park Rapids Adventure,The Lost World,7.916666666666667,96
2024-01-01,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,313
2024-01-01,11,Magic Potion Spin,Far Far Away,5.0,64
2024-01-01,11,Puss In Boots’ Giant Journey,Far Far Away,7.5,58
2024-01-01,11,Revenge of the Mummy,Ancient Egypt,12.083333333333334,444
2024-01-01,11,Sesame Street Spaghetti Space Chase,New York,28.333333333333332,185
2024-01-01,11,Shrek 4-D Adventure,Far Far Away,20.0,444
2024-01-01,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,30.833333333333332,1819
2024-01-01,11,Treasure Hunters,Ancient Egypt,38.75,602
2024-01-01,12,Accelerator,Sci-Fi City,5.0,65
2024-01-01,12,Battlestar Galactica: CYLON,Sci-Fi City,17.5,549
2024-01-01,12,Battlestar Galactica: HUMAN,Sci-Fi City,18.0,616
2024-01-01,12,Canopy Flyer,The Lost World,40.0,707
2024-01-01,12,Dino-Soarin,The Lost World,7.5,29
2024-01-01,12,Enchanted Airways,Far Far Away,5.0,136
2024-01-01,12,Jurassic Park Rapids Adventure,The Lost World,16.666666666666668,145
2024-01-01,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20.0,194
2024-01-01,12,Magic Potion Spin,Far Far Away,5.0,9
2024-01-01,12,Puss In Boots’ Giant Journey,Far Far Away,14.166666666666666,217
2024-01-01,12,Revenge of the Mummy,Ancient Egypt,11.25,621
2024-01-01,12,Sesame Street Spaghetti Space Chase,New York,19.166666666666668,294
