Station,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (°C),Date
Sentosa Island,2024,1,1,3.8,26.4,2024-01-01
Sentosa Island,2024,1,2,0.0,28.5,2024-01-02
Sentosa Island,2024,1,3,0.0,28.5,2024-01-03
Sentosa Island,2024,1,4,0.0,28.5,2024-01-04
Sentosa Island,2024,1,5,0.0,28.5,2024-01-05
Sentosa Island,2024,1,6,0.0,28.5,2024-01-06
Sentosa Island,2024,1,7,0.0,28.5,2024-01-07
Sentosa Island,2024,1,8,0.0,28.5,2024-01-08
Sentosa Island,2024,1,9,0.0,28.5,2024-01-09
Sentosa Island,2024,1,10,10.2,26.4,2024-01-10
Sentosa Island,2024,1,11,9.0,27.6,2024-01-11
Sentosa Island,2024,1,12,10.5,25.9,2024-01-12
Sentosa Island,2024,1,13,5.8,27.0,2024-01-13
Sentosa Island,2024,1,14,0.0,28.3,2024-01-14
Sentosa Island,2024,1,15,0.0,28.1,2024-01-15
Sentosa Island,2024,1,16,6.0,27.3,2024-01-16
Sentosa Island,2024,1,17,2.5,28.0,2024-01-17
Sentosa Island,2024,1,18,7.5,27.2,2024-01-18
Sentosa Island,2024,1,19,15.0,26.6,2024-01-19
Sentosa Island,2024,1,20,9.0,25.0,2024-01-20
Sentosa Island,2024,1,21,1.5,27.1,2024-01-21
Sentosa Island,2024,1,22,0.0,28.0,2024-01-22
Sentosa Island,2024,1,23,0.0,28.0,2024-01-23
Sentosa Island,2024,1,24,72.4,27.1,2024-01-24
Sentosa Island,2024,1,25,2.2,26.5,2024-01-25
Sentosa Island,2024,1,26,0.0,28.5,2024-01-26
Sentosa Island,2024,1,27,0.0,28.9,2024-01-27
Sentosa Island,2024,1,28,0.0,28.6,2024-01-28
Sentosa Island,2024,1,29,0.0,28.8,2024-01-29
Sentosa Island,2024,1,30,0.4,28.2,2024-01-30
Sentosa Island,2024,1,31,0.4,28.5,2024-01-31
Sentosa Island,2024,2,1,0.0,28.5,2024-02-01
Sentosa Island,2024,2,2,15.2,27.9,2024-02-02
Sentosa Island,2024,2,3,19.0,27.9,2024-02-03
Sentosa Island,2024,2,4,0.0,28.9,2024-02-04
Sentosa Island,2024,2,5,0.0,29.2,2024-02-05
Sentosa Island,2024,2,6,0.0,28.8,2024-02-06
Sentosa Island,2024,2,7,3.2,28.5,2024-02-07
Sentosa Island,2024,2,8,0.0,28.3,2024-02-08
Sentosa Island,2024,2,9,27.4,27.7,2024-02-09
Sentosa Island,2024,2,10,10.4,28.2,2024-02-10
Sentosa Island,2024,2,11,3.6,28.4,2024-02-11
Sentosa Island,2024,2,12,3.4,27.0,2024-02-12
Sentosa Island,2024,2,13,5.8,27.5,2024-02-13
Sentosa Island,2024,2,14,1.0,28.4,2024-02-14
Sentosa Island,2024,2,15,3.8,27.5,2024-02-15
Sentosa Island,2024,2,16,0.0,28.8,2024-02-16
Sentosa Island,2024,2,17,0.0,28.6,2024-02-17
Sentosa Island,2024,2,18,0.0,28.9,2024-02-18
Sentosa Island,2024,2,19,0.0,29.1,2024-02-19
Sentosa Island,2024,2,20,0.6,28.8,2024-02-20
Sentosa Island,2024,2,21,0.0,28.8,2024-02-21
Sentosa Island,2024,2,22,0.0,28.8,2024-02-22
Sentosa Island,2024,2,23,0.0,28.9,2024-02-23
Sentosa Island,2024,2,24,0.0,29.0,2024-02-24
Sentosa Island,2024,2,25,0.0,29.5,2024-02-25
Sentosa Island,2024,2,26,0.0,29.4,2024-02-26
Sentosa Island,2024,2,27,3.0,28.2,2024-02-27
Sentosa Island,2024,2,28,0.0,29.4,2024-02-28
Sentosa Island,2024,2,29,0.0,29.9,2024-02-29
Sentosa Island,2024,3,1,1.2,29.1,2024-03-01
Sentosa Island,2024,3,2,6.8,28.4,2024-03-02
Sentosa Island,2024,3,3,8.8,27.3,2024-03-03
Sentosa Island,2024,3,4,58.4,27.8,2024-03-04
Sentosa Island,2024,3,5,5.2,27.0,2024-03-05
Sentosa Island,2024,3,6,5.0,27.9,2024-03-06
Sentosa Island,2024,3,7,9.6,28.1,2024-03-07
Sentosa Island,2024,3,8,3.8,27.4,2024-03-08
Sentosa Island,2024,3,9,0.2,28.6,2024-03-09
Sentosa Island,2024,3,10,11.6,27.7,2024-03-10
Sentosa Island,2024,3,11,0.0,29.0,2024-03-11
Sentosa Island,2024,3,12,0.0,29.6,2024-03-12
Sentosa Island,2024,3,13,0.0,29.8,2024-03-13
Sentosa Island,2024,3,14,0.0,29.3,2024-03-14
Sentosa Island,2024,3,15,0.0,28.9,2024-03-15
Sentosa Island,2024,3,16,0.0,29.3,2024-03-16
