Date,24h_time,Ride_name,Zone_name,Wait_time,Visitor_count
1/1/24,10,Accelerator,Sci-Fi City,5,67
1/1/24,10,Battlestar Galactica: CYLON,Sci-Fi City,5,144
1/1/24,10,Battlestar Galactica: HUMAN,Sci-Fi City,6.666666666666667,145
1/1/24,10,Canopy Flyer,The Lost World,5,53
1/1/24,10,Dino-Soarin,The Lost World,5,19
1/1/24,10,Enchanted Airways,Far Far Away,5,138
1/1/24,10,Jurassic Park Rapids Adventure,The Lost World,5,13
1/1/24,10,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,182
1/1/24,10,Magic Potion Spin,Far Far Away,5,63
1/1/24,10,Puss In Boots’ Giant Journey,Far Far Away,5,71
1/1/24,10,Revenge of the Mummy,Ancient Egypt,5,21
1/1/24,10,Sesame Street Spaghetti Space Chase,New York,7.5,46
1/1/24,10,Shrek 4-D Adventure,Far Far Away,20,544
1/1/24,10,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,11.25,277
1/1/24,10,Treasure Hunters,Ancient Egypt,7.5,62
1/1/24,11,Accelerator,Sci-Fi City,5,35
1/1/24,11,Battlestar Galactica: CYLON,Sci-Fi City,16.25,414
1/1/24,11,Battlestar Galactica: HUMAN,Sci-Fi City,19,600
1/1/24,11,Canopy Flyer,The Lost World,20,331
1/1/24,11,Dino-Soarin,The Lost World,10.555555555555555,454
1/1/24,11,Enchanted Airways,Far Far Away,5,112
1/1/24,11,Jurassic Park Rapids Adventure,The Lost World,7.916666666666667,96
1/1/24,11,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,313
1/1/24,11,Magic Potion Spin,Far Far Away,5,64
1/1/24,11,Puss In Boots’ Giant Journey,Far Far Away,7.5,58
1/1/24,11,Revenge of the Mummy,Ancient Egypt,12.083333333333334,444
1/1/24,11,Sesame Street Spaghetti Space Chase,New York,28.333333333333332,185
1/1/24,11,Shrek 4-D Adventure,Far Far Away,20,444
1/1/24,11,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,30.833333333333332,1819
1/1/24,11,Treasure Hunters,Ancient Egypt,38.75,602
1/1/24,12,Accelerator,Sci-Fi City,5,65
1/1/24,12,Battlestar Galactica: CYLON,Sci-Fi City,17.5,549
1/1/24,12,Battlestar Galactica: HUMAN,Sci-Fi City,18,616
1/1/24,12,Canopy Flyer,The Lost World,40,707
1/1/24,12,Dino-Soarin,The Lost World,7.5,29
1/1/24,12,Enchanted Airways,Far Far Away,5,136
1/1/24,12,Jurassic Park Rapids Adventure,The Lost World,16.666666666666668,145
1/1/24,12,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,194
1/1/24,12,Magic Potion Spin,Far Far Away,5,9
1/1/24,12,Puss In Boots’ Giant Journey,Far Far Away,14.166666666666666,217
1/1/24,12,Revenge of the Mummy,Ancient Egypt,11.25,621
1/1/24,12,Sesame Street Spaghetti Space Chase,New York,19.166666666666668,294
1/1/24,12,Shrek 4-D Adventure,Far Far Away,20,486
1/1/24,12,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,40,991
1/1/24,12,Treasure Hunters,Ancient Egypt,39.166666666666664,495
1/1/24,13,Accelerator,Sci-Fi City,13.333333333333334,308
1/1/24,13,Battlestar Galactica: CYLON,Sci-Fi City,14.166666666666666,687
1/1/24,13,Battlestar Galactica: HUMAN,Sci-Fi City,60,1779
1/1/24,13,Canopy Flyer,The Lost World,40,927
1/1/24,13,Dino-Soarin,The Lost World,26.666666666666668,127
1/1/24,13,Enchanted Airways,Far Far Away,5,18
1/1/24,13,Jurassic Park Rapids Adventure,The Lost World,15,460
1/1/24,13,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,409
1/1/24,13,Magic Potion Spin,Far Far Away,5,10
1/1/24,13,Puss In Boots’ Giant Journey,Far Far Away,20,453
1/1/24,13,Revenge of the Mummy,Ancient Egypt,14.166666666666666,706
1/1/24,13,Sesame Street Spaghetti Space Chase,New York,28.75,345
1/1/24,13,Shrek 4-D Adventure,Far Far Away,20,370
1/1/24,13,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,48.333333333333336,1546
1/1/24,13,Treasure Hunters,Ancient Egypt,30,327
1/1/24,14,Accelerator,Sci-Fi City,15,273
1/1/24,14,Battlestar Galactica: CYLON,Sci-Fi City,15,495
1/1/24,14,Battlestar Galactica: HUMAN,Sci-Fi City,14.166666666666666,186
1/1/24,14,Canopy Flyer,The Lost World,40,738
1/1/24,14,Dino-Soarin,The Lost World,30,325
1/1/24,14,Enchanted Airways,Far Far Away,5,150
1/1/24,14,Jurassic Park Rapids Adventure,The Lost World,25,305
1/1/24,14,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,176
1/1/24,14,Magic Potion Spin,Far Far Away,5,18
1/1/24,14,Puss In Boots’ Giant Journey,Far Far Away,50,1191
1/1/24,14,Revenge of the Mummy,Ancient Egypt,17.5,610
1/1/24,14,Sesame Street Spaghetti Space Chase,New York,15,123
1/1/24,14,Shrek 4-D Adventure,Far Far Away,20,633
1/1/24,14,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,50,1899
1/1/24,14,Treasure Hunters,Ancient Egypt,37.5,816
1/1/24,15,Accelerator,Sci-Fi City,15,233
1/1/24,15,Battlestar Galactica: CYLON,Sci-Fi City,15.714285714285714,679
1/1/24,15,Battlestar Galactica: HUMAN,Sci-Fi City,6.428571428571429,15
1/1/24,15,Canopy Flyer,The Lost World,32.857142857142854,702
1/1/24,15,Dino-Soarin,The Lost World,27.142857142857142,324
1/1/24,15,Enchanted Airways,Far Far Away,7.142857142857143,114
1/1/24,15,Jurassic Park Rapids Adventure,The Lost World,30,465
1/1/24,15,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,103
1/1/24,15,Magic Potion Spin,Far Far Away,5,51
1/1/24,15,Puss In Boots’ Giant Journey,Far Far Away,52.857142857142854,1417
1/1/24,15,Revenge of the Mummy,Ancient Egypt,20,267
1/1/24,15,Sesame Street Spaghetti Space Chase,New York,21.428571428571427,133
1/1/24,15,Shrek 4-D Adventure,Far Far Away,20,568
1/1/24,15,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,47.142857142857146,960
1/1/24,15,Treasure Hunters,Ancient Egypt,40,633
1/1/24,16,Accelerator,Sci-Fi City,8.333333333333334,51
1/1/24,16,Battlestar Galactica: CYLON,Sci-Fi City,16.25,513
1/1/24,16,Battlestar Galactica: HUMAN,Sci-Fi City,15,252
1/1/24,16,Canopy Flyer,The Lost World,45,991
1/1/24,16,Dino-Soarin,The Lost World,20,383
1/1/24,16,Enchanted Airways,Far Far Away,20,477
1/1/24,16,Jurassic Park Rapids Adventure,The Lost World,30,471
1/1/24,16,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,415
1/1/24,16,Magic Potion Spin,Far Far Away,5,24
1/1/24,16,Puss In Boots’ Giant Journey,Far Far Away,39.166666666666664,913
1/1/24,16,Revenge of the Mummy,Ancient Egypt,20,556
1/1/24,16,Sesame Street Spaghetti Space Chase,New York,30,136
1/1/24,16,Shrek 4-D Adventure,Far Far Away,20,417
1/1/24,16,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,17.5,549
1/1/24,16,Treasure Hunters,Ancient Egypt,40,400
1/1/24,17,Accelerator,Sci-Fi City,5,70
1/1/24,17,Battlestar Galactica: CYLON,Sci-Fi City,5,94
1/1/24,17,Battlestar Galactica: HUMAN,Sci-Fi City,5.833333333333333,21
1/1/24,17,Canopy Flyer,The Lost World,33.333333333333336,923
1/1/24,17,Dino-Soarin,The Lost World,20,259
1/1/24,17,Enchanted Airways,Far Far Away,20,417
1/1/24,17,Jurassic Park Rapids Adventure,The Lost World,30,372
1/1/24,17,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,412
1/1/24,17,Magic Potion Spin,Far Far Away,5,69
1/1/24,17,Puss In Boots’ Giant Journey,Far Far Away,38.333333333333336,1215
1/1/24,17,Revenge of the Mummy,Ancient Egypt,8.333333333333334,30
1/1/24,17,Sesame Street Spaghetti Space Chase,New York,5,24
1/1/24,17,Shrek 4-D Adventure,Far Far Away,20,514
1/1/24,17,TRANSFORMERS The Ride: The Ultimate 3D Battle,Sci-Fi City,5,102
1/1/24,17,Treasure Hunters,Ancient Egypt,40,366
1/1/24,18,Accelerator,Sci-Fi City,5,36
1/1/24,18,Battlestar Galactica: CYLON,Sci-Fi City,5,73
1/1/24,18,Battlestar Galactica: HUMAN,Sci-Fi City,5,102
1/1/24,18,Canopy Flyer,The Lost World,31.666666666666668,446
1/1/24,18,Dino-Soarin,The Lost World,20,432
1/1/24,18,Enchanted Airways,Far Far Away,12.5,166
1/1/24,18,Jurassic Park Rapids Adventure,The Lost World,29.166666666666668,202
1/1/24,18,"Lights, Camera, Action! Hosted by Steven Spielberg",New York,20,284
1/1/24,18,Magic Potion Spin,Far Far Away,5,48
